temperature,humidity,pressure,soil_raw,soilMoisture,vpd_kpa,et0_proxy,heat_stress,moisture_deficit,dry_hot_index,pump_historical,irrigate,relayStatus,targetValue,device_id
29.18490786,71.78969946,855.34,683.8029058,55.092127010908555,1.1421449575241598,4.05517835084599,0.2731134824999999,0.08179788315152407,0.06425520152017794,0,1,ON,100.0,esp32-irrigation
33.70720471,77.97739053,853.21,408.5715671,14.032249185086977,1.1524770140987735,4.787601746218334,0.8384005887499999,0.7661291802485504,0.6038011576409728,1,1,ON,100.0,esp32-irrigation
24.76031105,60.77628206,856.25,659.0920744,51.405687366895464,1.2248905903785177,3.440641911729059,0.0,0.1432385438850756,0.11548215808862516,1,1,ON,100.0,esp32-irrigation
32.73851507,59.32354345,857.48,842.929764,78.83117281637385,2.016266081859996,5.445274084315998,0.7173143837499998,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
25.69274449,66.62491413,853.93,414.1993203,14.871815129565949,1.1016671983812152,3.4929001031845495,0.0,0.7521364145072342,0.5832192113962864,1,1,ON,100.0,esp32-irrigation
33.80680929,47.77469251,852.96,487.5212262,25.810207946424295,2.7482571225353554,6.124381243222031,0.8508511612499996,0.569829867559595,0.569829867559595,1,1,ON,100.0,esp32-irrigation
32.65949511,40.31759197,857.63,820.8567329,75.53824852769235,2.945247702753511,5.885735634105111,0.7074368887500002,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
38.08393948,50.91595054,854.95,726.5048072,61.46253113238616,3.2664872441783905,7.0390016025104565,1.0,0.0,0.0,0,1,ON,100.0,esp32-irrigation
35.43074707,60.82272131,852.17,939.9159784,93.29988169546539,2.2558018277938072,6.214365800785596,1.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
34.23292319,42.99440241,854.85,628.397718,46.82660662093453,3.071823297191743,6.213743690378992,0.9041153987500001,0.2195565563177579,0.2195565563177579,1,1,ON,100.0,esp32-irrigation
32.45140078,72.28222536,852.55,780.3895476,69.5012263912561,1.3519103568235997,4.769477670982081,0.6814250975,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
22.61185697,62.21459137,853.72,768.7010788,67.75750380804385,1.0368897291795451,3.0040243258434707,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
27.01024863,61.77921565,854.96,468.513799,22.97462010129931,1.3635205306965,3.888971392213786,0.001281078749999942,0.6170896649783448,0.518898439358822,1,1,ON,100.0,esp32-irrigation
24.74705146,64.86232578,849.85,801.6475766,72.67256610017337,1.096422393650419,3.34985155274047,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
24.01856157,56.57166562,850.41,651.9454739,50.33953499926919,1.2973100913560704,3.378124683017304,0.0,0.16100775001218015,0.13272311972542428,1,1,ON,100.0,esp32-irrigation
32.96375881,64.836761,852.24,685.823752,55.39360321077989,1.7651704733046383,5.249333640435879,0.7454698512500002,0.07677327982033523,0.07226612157957027,0,1,ON,100.0,esp32-irrigation
27.99827866,62.05800089,851.71,552.4985002,35.50372229873788,1.4340374084883367,4.102570451780759,0.12478483250000005,0.4082712950210354,0.35050472497855334,1,1,ON,100.0,esp32-irrigation
27.89698264,49.92390283,855.04,527.5880503,31.787502938285193,1.8815174269865804,4.438790757291583,0.11212283000000012,0.4702082843619134,0.4562804125160571,1,1,ON,100.0,esp32-irrigation
34.836731639999996,45.72879474,851.15,762.5760332,66.84375021733187,3.0240678110946573,6.34104351705161,0.9795914549999996,0.0,0.0,0,1,ON,100.0,esp32-irrigation
22.46622021,40.23528975,851.37,440.6303956,18.81488617572327,1.625601547402301,3.3504723651634905,0.0,0.6864185637379454,0.6221700517134899,1,1,ON,100.0,esp32-irrigation
32.37186722,50.51121641,857.38,748.5945452,64.75794780902062,2.4029813091535734,5.735916693595039,0.6714834024999998,0.0,0.0,0,1,ON,100.0,esp32-irrigation
23.01426608,67.31921149,854.27,541.4624976,33.857336677893436,0.9189389089671578,2.9853953202811954,0.0,0.43571105536844273,0.31795348814552277,1,1,ON,100.0,esp32-irrigation
23.28497444,71.65649789,854.97,466.5218472,22.677454459010026,0.8101219701111205,2.952367818328971,0.0,0.6220424256831663,0.43700377168836985,1,1,ON,100.0,esp32-irrigation
25.51245583,74.57481526,850.98,903.2674218,87.832534613566,0.8303279011999445,3.2723414365956685,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
31.48275853,41.97814358,852.46,673.6411749,53.57616799539956,2.6791886854527265,5.643967643050919,0.5603448162500002,0.1070638667433407,0.1070638667433407,1,1,ON,100.0,esp32-irrigation
37.03853837,58.10408442,853.43,400.7745337,12.869063189189884,2.6344145129219685,6.811863051509175,1.0,0.7855156135135019,0.7855156135135019,1,1,ON,100.0,esp32-irrigation
36.83077335,81.20181201,850.3,783.7697805,70.00550017981658,1.1687224601039816,5.325595603397695,1.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
38.64757166,71.10451413,853.9,424.8419871,16.459521677130425,1.9823097942936596,6.569149146131953,1.0,0.7256746387144929,0.7224653053058094,1,1,ON,100.0,esp32-irrigation
22.2119609,54.84962341,853.43,754.14794,65.58642073322892,1.2092545968076673,3.0540264240928083,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
29.33212651,72.40464911,853.35,805.9594626,73.31582683201849,1.1267747469902887,4.065318775825442,0.2915158137499998,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
31.99541439,77.41809636,852.26,395.4654845,12.07704251104726,1.0734405988957896,4.436732601841188,0.6244267987500001,0.7987159581492124,0.6137015131904349,0,1,ON,100.0,esp32-irrigation
19.02299534,78.80498538,859.95,673.7875478,53.598004365557834,0.46640640610483497,2.2114347419453946,0.0,0.10669992724070276,0.06579134601934727,1,0,OFF,0.0,esp32-irrigation
26.22425309,76.7051323,854.42,731.7512713,62.24521516822688,0.7934834771688093,3.3450731031210594,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
34.90846594,44.35794312,850.77,462.1622986,22.027083270404777,3.1127822365432114,6.356219344475528,0.9885582424999999,0.6328819454932538,0.6328819454932538,0,1,ON,100.0,esp32-irrigation
35.28726983,39.99390152,855.42,927.8079638,91.49356994863645,3.427892074507924,6.4365409624799925,1.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
23.86116554,61.51615757,851.68,898.8926732,87.17989584109513,1.1387916564783882,3.249016165385649,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
32.82766255,74.60337098,854.18,913.113218,89.30136149563332,1.265190591437144,4.750818062195181,0.7284578187499999,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
22.38197726,56.59230979,850.01,351.3558991,5.496635657575658,1.1746628914812345,3.057244240917645,0.0,0.9083894057070724,0.7209575343282336,1,1,ON,100.0,esp32-irrigation
19.62990205,46.27759015,851.92,766.2113,67.3860707662101,1.2276884500911622,2.695743506396973,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
18.44366419,58.18156467,855.88,891.4067107,86.06311638163932,0.8875018902439646,2.3572893849630727,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
32.51240158,53.58096683,855.54,895.4460155,86.66571259169531,2.271837876903609,5.64159274799198,0.6890501975000003,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
29.05412642,59.45842859,854.54,527.994279,31.848105414987625,1.6290512098674965,4.436398346490006,0.2567658024999999,0.4691982430835396,0.42568611293250574,1,1,ON,100.0,esp32-irrigation
26.74577988,75.11348102,854.1,518.4131014,30.418755168966747,0.8741413221106041,3.4788715853121572,0.0,0.49302074718388755,0.3542528255347641,1,1,ON,100.0,esp32-irrigation
20.66510899,46.77438853,854.37,917.9210541,90.01860962517046,1.2967376987392096,2.881838575642905,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
38.80450797,68.49685483,849.25,425.8389695,16.6082546511146,2.1795231409725666,6.827865829161545,1.0,0.7231957558147567,0.7231957558147567,1,1,ON,100.0,esp32-irrigation
32.10361139,75.83862846,851.95,497.2621171,27.263384725485093,1.1555623804399697,4.529714425570468,0.6379514237499997,0.5456102545752484,0.43042679842998216,1,1,ON,100.0,esp32-irrigation
36.16177182,55.75736243,852.11,625.6791284,46.421038863419014,2.651873965904039,6.623143566955998,1.0,0.22631601894301642,0.22631601894301642,1,1,ON,100.0,esp32-irrigation
36.62782649,68.50373606,855.85,703.7294322,58.06482896898326,1.9366192612054132,6.117216022160793,1.0,0.03225285051694572,0.031741798143446874,0,1,ON,100.0,esp32-irrigation
23.41158867,49.91586603,855.65,960.3877125,96.35391945511498,1.442494219539227,3.3813016835503626,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
20.10687481,61.10139107,850.78,930.6613623,91.91924892237455,0.915593829729313,2.589824266028075,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
21.24283558,72.72860039,855.86,831.3398657,77.10215529075552,0.6884240359216461,2.6082516263162816,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
35.32251749,49.85763478,852.4,800.0186865,72.42956314559125,2.86999242087929,6.444030537857065,1.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
38.97932302,63.38915578,851.23,875.1762884,83.64181087243682,2.5567961478961956,7.235365478862534,1.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
30.69033234,70.88355159,855.45,492.0113428,26.48005768043532,1.285198115884835,4.417185311234068,0.46129154250000015,0.558665705326078,0.4588318806366759,1,1,ON,100.0,esp32-irrigation
33.22723857,45.26971073,856.19,808.5531799,73.70276574659029,2.788299589835168,6.003469497946261,0.7784048212499997,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
38.23214297,44.07958961,855.34,496.3696602,27.130245194747445,3.7513472655417437,7.071388054858213,1.0,0.5478292467542093,0.5478292467542093,1,1,ON,100.0,esp32-irrigation
27.65112189,63.77504282,852.18,733.6169237,62.523539068300444,1.3417077552435013,3.9740886861092655,0.08139023624999986,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
33.09027604,57.73107061,852.86,550.2446921,35.167492109014766,2.136979761096394,5.627955363272839,0.7612845049999999,0.4138751315164206,0.4138751315164206,1,1,ON,100.0,esp32-irrigation
36.04671237,51.66838899,854.1,733.0429809,62.43791647401914,2.878747324066572,6.598498772904036,1.0,0.0,0.0,0,1,ON,100.0,esp32-irrigation
36.29225945,44.70741231,855.68,672.593627,53.41989150089186,3.337973922249874,6.6511270398438604,1.0,0.10966847498513571,0.10966847498513571,1,1,ON,100.0,esp32-irrigation
34.1753631,47.10764913,852.3,437.3606396,18.327093679002598,2.8410693003747554,6.201649507209888,0.8969203874999998,0.69454843868329,0.69454843868329,1,1,ON,100.0,esp32-irrigation
23.65485943,81.2259392,854.3,867.9160113,82.55869987164871,0.5487016372436195,2.8303883977839646,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
28.50899242,43.69588123,851.41,840.3122048,78.44067709208062,2.1921500920221857,4.7981407482757525,0.1886240524999998,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
37.67302885,39.70788536,850.09,591.3993548,41.30707428888699,3.92412621519738,6.949447294360403,1.0,0.31154876185188357,0.31154876185188357,1,1,ON,100.0,esp32-irrigation
29.88475236,62.70444708,856.05,392.9717059,11.705012766453908,1.5720438857652075,4.530602012959605,0.36059404500000003,0.8049164538924349,0.7187992244195712,1,1,ON,100.0,esp32-irrigation
29.46343116,62.03854994,857.45,377.766874,9.436708062763723,1.5618149855496077,4.450235020328326,0.30792889499999987,0.8427215322872713,0.7504045455865327,1,1,ON,100.0,esp32-irrigation
18.42114697,49.00948583,855.21,359.6880054,6.739645513668616,1.0806326877301533,2.452435803987631,0.0,0.8876725747721896,0.683648287461199,1,1,ON,100.0,esp32-irrigation
28.58465415,59.34578281,856.68,392.5907137,11.648175150292603,1.5897950128729972,4.324525667061004,0.19808176874999983,0.8058637474951234,0.7232214154532846,1,1,ON,100.0,esp32-irrigation
33.42320894,72.49057658,854.49,408.8220381,14.069615237613869,1.4169535252316985,4.996875271061288,0.8029011175000003,0.7655064127064356,0.6539249588711816,1,1,ON,100.0,esp32-irrigation
33.82878329,67.41403773,851.93,617.4736703,45.19692278462417,1.7168761798508827,5.3610198692503435,0.8535979112499996,0.24671795358959717,0.22925502120968233,1,1,ON,100.0,esp32-irrigation
24.90582822,75.6340079,855.51,954.6214434,95.49368927247984,0.7675413899180411,3.1442196909807185,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
18.87048114,69.53474979,859.18,718.3680838,60.24866911258667,0.6640511896552176,2.2962467795804336,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
26.38227776,80.96259893,854.34,693.6435959,56.5601921488985,0.6545350390821476,3.2642049193328853,0.0,0.05733013085169165,0.03804621028524498,0,0,OFF,0.0,esp32-irrigation
27.96928989,68.06970814,858.16,394.9716022,12.003363594270859,1.204786316320388,3.916633407393469,0.12116123624999986,0.7999439400954856,0.6409123482603571,1,1,ON,100.0,esp32-irrigation
19.93847873,39.13195054,848.66,615.1722709,44.853592774899454,1.4178549345487774,2.843896673079409,0.0,0.25244012041834246,0.21570092781247982,1,1,ON,100.0,esp32-irrigation
26.67489864,78.64099226,856.45,871.3250242,83.06726715123898,0.7471170223519562,3.3734450830301586,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
33.51201906,75.71614774,853.8,747.0803534,64.53205590802375,1.257035878601349,4.857057047287203,0.8140023825,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
34.9854744,63.34809685,852.65,418.4003452,15.498537253405381,2.0591657497658145,5.9230470260859205,0.9981843000000001,0.741691045776577,0.741691045776577,1,1,ON,100.0,esp32-irrigation
32.5903976,73.84502511,853.92,369.2419288,8.164929892308514,1.285706620429343,4.7307079168880355,0.6987997000000004,0.8639178351281914,0.709645137596921,1,1,ON,100.0,esp32-irrigation
35.94243818,78.05485409,848.32,733.9186898,62.56855748537642,1.299648653964229,5.3131905846732606,1.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
19.7773322,56.57729304,854.68,769.3017604,67.8471153807111,1.001433801166806,2.5930302376622927,0.0,0.0,0.0,0,0,OFF,0.0,esp32-irrigation
