Soil Moisture,Temperature,Air Humidity,Atmospheric Pressure (Kathmandu),Pump Data
683.8029058,29.18490786,71.78969946,855.34,0
408.5715671,33.70720471,77.97739053,853.21,1
659.0920744,24.76031105,60.77628206,856.25,1
842.929764,32.73851507,59.32354345,857.48,0
414.1993203,25.69274449,66.62491413,853.93,1
487.5212262,33.80680929,47.77469251,852.96,1
820.8567329,32.65949511,40.31759197,857.63,0
726.5048072,38.08393948,50.91595054,854.95,0
939.9159784,35.43074707,60.82272131,852.17,0
628.397718,34.23292319,42.99440241,854.85,1
780.3895476,32.45140078,72.28222536,852.55,0
768.7010788,22.61185697,62.21459137,853.72,0
468.513799,27.01024863,61.77921565,854.96,1
801.6475766,24.74705146,64.86232578,849.85,0
651.9454739,24.01856157,56.57166562,850.41,1
685.823752,32.96375881,64.836761,852.24,0
552.4985002,27.99827866,62.05800089,851.71,1
527.5880503,27.89698264,49.92390283,855.04,1
762.5760332,34.836731639999996,45.72879474,851.15,0
440.6303956,22.46622021,40.23528975,851.37,1
748.5945452,32.37186722,50.51121641,857.38,0
541.4624976,23.01426608,67.31921149,854.27,1
466.5218472,23.28497444,71.65649789,854.97,1
903.2674218,25.51245583,74.57481526,850.98,0
673.6411749,31.48275853,41.97814358,852.46,1
400.7745337,37.03853837,58.10408442,853.43,1
783.7697805,36.83077335,81.20181201,850.3,0
424.8419871,38.64757166,71.10451413,853.9,1
754.14794,22.2119609,54.84962341,853.43,0
805.9594626,29.33212651,72.40464911,853.35,0
395.4654845,31.99541439,77.41809636,852.26,0
673.7875478,19.02299534,78.80498538,859.95,1
731.7512713,26.22425309,76.7051323,854.42,0
462.1622986,34.90846594,44.35794312,850.77,0
927.8079638,35.28726983,39.99390152,855.42,0
898.8926732,23.86116554,61.51615757,851.68,0
913.113218,32.82766255,74.60337098,854.18,0
351.3558991,22.38197726,56.59230979,850.01,1
766.2113,19.62990205,46.27759015,851.92,0
891.4067107,18.44366419,58.18156467,855.88,0
895.4460155,32.51240158,53.58096683,855.54,0
527.994279,29.05412642,59.45842859,854.54,1
518.4131014,26.74577988,75.11348102,854.1,1
917.9210541,20.66510899,46.77438853,854.37,0
425.8389695,38.80450797,68.49685483,849.25,1
497.2621171,32.10361139,75.83862846,851.95,1
625.6791284,36.16177182,55.75736243,852.11,1
703.7294322,36.62782649,68.50373606,855.85,0
960.3877125,23.41158867,49.91586603,855.65,0
930.6613623,20.10687481,61.10139107,850.78,0
831.3398657,21.24283558,72.72860039,855.86,0
800.0186865,35.32251749,49.85763478,852.4,0
875.1762884,38.97932302,63.38915578,851.23,0
492.0113428,30.69033234,70.88355159,855.45,1
808.5531799,33.22723857,45.26971073,856.19,0
496.3696602,38.23214297,44.07958961,855.34,1
733.6169237,27.65112189,63.77504282,852.18,0
550.2446921,33.09027604,57.73107061,852.86,1
733.0429809,36.04671237,51.66838899,854.1,0
672.593627,36.29225945,44.70741231,855.68,1
437.3606396,34.1753631,47.10764913,852.3,1
867.9160113,23.65485943,81.2259392,854.3,0
840.3122048,28.50899242,43.69588123,851.41,0
591.3993548,37.67302885,39.70788536,850.09,1
392.9717059,29.88475236,62.70444708,856.05,1
377.766874,29.46343116,62.03854994,857.45,1
359.6880054,18.42114697,49.00948583,855.21,1
392.5907137,28.58465415,59.34578281,856.68,1
408.8220381,33.42320894,72.49057658,854.49,1
617.4736703,33.82878329,67.41403773,851.93,1
954.6214434,24.90582822,75.6340079,855.51,0
718.3680838,18.87048114,69.53474979,859.18,0
693.6435959,26.38227776,80.96259893,854.34,0
394.9716022,27.96928989,68.06970814,858.16,1
615.1722709,19.93847873,39.13195054,848.66,1
871.3250242,26.67489864,78.64099226,856.45,0
747.0803534,33.51201906,75.71614774,853.8,0
418.4003452,34.9854744,63.34809685,852.65,1
369.2419288,32.5903976,73.84502511,853.92,1
733.9186898,35.94243818,78.05485409,848.32,0
769.3017604,19.7773322,56.57729304,854.68,0
924.1754133,32.19162455,59.64859301,854.63,0
401.4952493,35.7290513,69.34994159,857.01,1
693.6749208,22.62732984,50.96885041,853.59,0
398.488903,31.61827775,62.14365628,851.78,1
610.9725248,29.86596628,75.2706511,852.76,1
506.4048566,24.19754699,44.83529542,856.98,1
731.7547666,24.91222857,44.54538979,855.43,0
863.5063924,23.94828469,76.42347719,853.4,0
895.81224,25.23651133,51.31257887,855.85,0
439.7016469,31.09212269,38.62614319,854.11,1
880.9507041,27.33736531,61.05962015,856.74,0
713.5380891,26.74934787,56.04137589,852.63,0
589.737332,21.36677755,49.64147192,854.22,1
955.4146134,21.94951202,47.90370377,853.99,0
321.7377305,25.07360753,69.09578913,850.93,1
399.3534438,30.49472928,77.68885424,854.68,1
375.3130154,34.95107323,65.18342573,854.06,1
732.7081562,29.39140922,43.74302238,854.09,0
742.6354412,18.23216026,67.52258734,854.83,0
535.369764,27.55169062,65.16688,850.76,1
657.8871424,29.76739106,75.23687082,852.98,1
551.1378456,26.31360596,61.53205765,853.59,1
694.4871207,19.73742076,69.88302827,853.23,0
926.32183,26.65230538,65.06504994,854.0,0
677.0286429,26.10497323,64.14603057,855.48,1
940.80097,18.62938351,46.78770285,860.08,0
914.1188799,20.33003553,46.23138007,855.6,0
681.4306828,24.10797043,74.61265567,855.35,1
766.5916511,25.37298077,63.96610751,854.37,0
332.1993221,32.12412901,56.49534371,848.95,1
801.5378441,29.23046572,47.59271312,854.03,0
824.2833725,26.56890261,39.08373386,854.56,0
859.5793154,28.70185715,78.06252851,860.31,0
573.5841064,19.50081239,48.16378875,854.78,1
761.2762369,19.49655406,55.29787959,856.01,0
738.718584,29.63822079,41.08245597,853.96,0
984.6096034,32.67367917,60.30390769,850.76,0
322.6057696,25.81300635,42.08328337,857.36,1
342.4431069,29.66185289,50.80355729,855.92,1
459.3026495,37.98171538,39.37290809,855.02,1
708.9269297,34.11495609,47.51864582,851.23,0
